"cl","auc"
"CAS1",10.56
"KPL1",13.072
"MKN1",8.5778
"253JBV",8.6047
"BFTC905",7.9894
"BFTC909",8.6528
"CAL120",10.209
"CAL29",7.0937
"CAL62",5.0481
"HUCCT1",8.4123
"NMCG1",13.497
"RPMI7951",3.5782
"253J",6.2694
"ALLSIL",2.9219
"HDQP1",7.7531
"SNU245",9.6229
"SIMA",4.1765
"SNU489",8.6936
"SNU626",9.1574
"SNU738",6.5138
"SNU878",6.3098
"TUHR4TKB",7.9133
"ACCMESO1",13.754
"BCPAP",3.4579
"CGTHW1",7.4535
"COLO680N",9.7942
"ECC12",3.2714
"HCC95",9.3785
"JMSU1",3.9787
"RH41",2.7963
"SNU175",1.9671
"WSUDLCL2",1.0639
"2313287",3.4545
"8305C",6.1396
"BHY",7.1537
"JIMT1",7.3833
"KMRC20",10.107
"SNU1076",4.5506
"SNU1196",9.8971
"SNU8",5.4072
"A375",7.6373
"A549",11.311
"NCIH2009",5.4172
"SNU201",13.77
"SUIT2",14.227
"SNU1079",10.459
"COLO741",10.657
"DEL",2.9199
"HARA",3.634
"HCC15",4.7853
"KP4",4.2138
"LU99",6.6266
"NCIH1155",4.7793
"NCIH1581",4.2195
"NCIH2106",8.1802
"NCIH358",3.7748
"DLD1",8.5683
"EM2",3.6031
"JURLMK1",1.5903
"P12ICHIKAWA",1.6765
"KE37",1.5256
"KMS21BM",0.5021
"LI7",6.8808
"MHHNB11",2.8657
"MOLM13",1.133
"NCIH1975",4.4061
"NCIH28",2.987
"639V",8.0854
"BXPC3",4.4415
"CMLT1",2.954
"GSS",2.2484
"HCC366",5.0912
"KURAMOCHI",11.157
"LS411N",14.673
"LS513",5.9887
"ONCODG1",4.0223
"ONS76",7.8187
"SKCO1",4.7307
"SW48",1.335
"VMCUB1",3.832
"BEN",17.709
"CFPAC1",10.156
"HCC78",11.4
"HT",4.6001
"KU1919",11.667
"NCIH1299",11.41
"NCIH727",12.188
"NCO2",2.0187
"OVTOKO",11.657
"P31FUJ",2.4645
"PEER",1.4288
"RPMI8402",3.4531
"SHP77",7.7893
"SNU1077",13.33
"SNU620",1.8302
"SUDHL1",4.1282
"COLO205",6.2616
"DOHH2",4.4326
"EHEB",7.2782
"KIJK",8.3712
"KMM1",13.953
"LCLC103H",6.754
"MKN45",15
"NCIH650",8.4848
"OSRC2",11.196
"OVSAHO",14.154
"QGP1",8.3152
"RL952",7.0311
"SNU1041",12.354
"SW1353",8.6546
"SNU213",14.286
"8505C",6.8652
"CALU3",9.3723
"DAOY",4.7751
"GB1",11.795
"HCC1171",12.537
"HCC44",2.5135
"NCIH211",2.4128
"RERFLCAI",3.6674
"SBC5",3.521
"SF126",9.0194
"SNU119",7.0643
"SNU81",3.1361
"SNU182",6.6716
"TCCSUP",9.4401
"CAMA1",10.746
"DETROIT562",6.6743
"HEC1B",11.994
"HEP3B217",13.06
"HSC3",9.9375
"MCF7",10.705
"SNU1105",10.843
"U87MG",13.175
"22RV1",7.66
"769P",11.969
"COLO699",10.193
"DOV13",10.624
"ES2",11.868
"HCC1806",6.2072
"HPAFII",12.479
"KHM1B",6.9649
"OVISE",14.339
"JVM3",5.5651
"SNUC2A",9.1273
"U2OS",9.9805
"5637",1.588
"CAL12T",6.7265
"DMS79",12.367
"HCC1588",6.5252
"HCC1833",11.75
"HCC2279",4.6666
"KE97",1.4795
"KP3",8.709
"KU812",3.3545
"KYSE140",7.6628
"NALM6",0.8761
"NUGC4",5.0651
"TTTHYROID",6.0902
"AGS",9.0658
"HCT116",9.3036
"HEC108",5.4001
"HEC59",10.511
"HMC18",7.7774
"HT29",9.8072
"ISHIKAWAHERAKLIO02ER",5.0861
"JHOC5",9.5113
"KYSE180",6.1564
"LS180",7.1292
"MELHO",8.2296
"MHHES1",4.5226
"MORCPR",5.7243
"NCIH460",12.739
"HCC2108",9.3279
"HCC827",7.6884
"HEC251",9.14
"HEC265",7.554
"HEC6",8.8511
"HEL",7.6096
"JURKAT",1.3394
"JVM2",4.369
"KE39",13.692
"KMH2",6.9894
"NCIH2030",10.91
"SNU719",11.785
"KLE",8.6194
"KMS26",0.3175
"KMS27",2.0396
"NCIH1838",8.6358
"NCIH196",8.3906
"H292",8.4361
"SKMEL1",14.975
"HCC1937",13.882
"HDLM2",7.4068
"HUH28",13.557
"MV411",1.3256
"NCIH69",6.9805
"NCIH929",7.8326
"NCIN87",7.5046
"PF382",4.186
"SF295",12.035
"SNU1272",12.217
"SNU308",9.9194
"SNU478",6.7343
"BHT101",12.054
"CAL148",4.9649
"CAL51",9.7067
"HCC1395",7.277
"HT115",9.0711
"LN18",11.355
"LN229",9.5572
"NCIH1734",6.4471
"NCIH2291",13.12
"RERFLCAD1",12.914
"SNU46",11.774
"SNU466",12.387
"SNU5",7.8985
"SNU668",11.291
"SNU899",10.183
"TE10",7.6262
"TE4",3.0507
"YD10B",6.0797
"YD15",6.1894
"KNS81",12.14
"ML1",7.4393
"NCIH209",8.049
"NCIH2228",6.9481
"NCIH2452",8.4684
"NCIH2444",14.3
"NCIH226",13.19
"PC14",2.594
"RS411",0.7906
"SJSA1",6.4079
"SKMM2",9.4696
"SNU761",11.309
"SU8686",8.3617
"SW1271",7.4613
"TE6",4.0364
"TE8",3.892
"ECC10",5.0251
"HCC1195",9.2652
"HPBALL",2.1277
"KMS18",1.8278
"KMS12BM",0.4397
"KMS28BM",2.8221
"KMS34",0.575
"KYO1",2.5306
"MONOMAC1",3.5974
"NCIH1650",6.5974
"NCIH446",2.1735
"REC1",14.525
"SNU410",14.077
"SNU886",6.3615
"SUPT11",2.8649
"SW1463",10.089
"TALL1",4.0168
"YD8",8.1088
"CHP126",4.1741
"HS944T",5.0102
"L540",2.2563
"LOUNH91",6.9739
"MOLM6",3.7967
"MOLT16",0.2748
"NCIH889",7.5466
"NUDUL1",0.6826
"RCHACV",1.3655
"TUHR10TKB",9.1204
"FUOV1",9.4597
"JK1",2.9465
"MHHCALL4",2.2585
"MONOMAC6",9.7377
"MSTO211H",7.9052
"NCIH661",5.8986
"P3HR1",3.251
"RI1",1.9355
"SUDHL10",0.6975
"SUDHL8",1.7169
"A2780",3.4824
"CL11",7.2617
"KARPAS620",16.839
"KYSE410",4.5874
"LCLC97TM1",3.8126
"MOLP2",5.7237
"NCIH1355",7.4118
"NCIH1573",7.6992
"NCIH1666",6.941
"NCIH2087",8.1945
"OCUM1",7.0641
"KALS1",8.2061
"SW1710",3.9758
"BV173",0.4646
"CAL78",10.012
"EPLC272H",7.4959
"IGROV1",8.4656
"RH18",14.395
"KM12",5.5779
"KMS11",0.8902
"L363",0.7188
"MCAS",1.2124
"MHHCALL3",6.9021
"MKN74",6.9653
"RKO",5.4403
"SCC25",3.9469
"SNGM",2.4664
"SR786",4.9654
"AM38",8.1352
"AMO1",5.6669
"HEC50B",11.214
"MC116",15.468
"SUDHL4",2.1647
"SUDHL6",2.4304
"CW2",10.162
"NCIH2085",12.375
"NCIH520",7.7111
"DBTRG05MG",8.9355
"KELLY",5.15
"MDAMB231",9.6499
"ME1",10.584
"MELJUSO",9.1253
"NB1",4.0199
"NCIH1373",11.439
"NCIH1792",7.3714
"NCIH2122",6.6452
"NCIH508",7.9634
"OVCAR4",12.015
"OVCAR8",6.492
"PL21",3.2563
"RH30",7.7007
"RPMI8226",0.9728
"RT112",0.7784
"SKM1",0.1863
"SUPT1",3.4523
"COLO201",10.067
"KARPAS299",5.9144
"KPNSI9S",7.1094
"NCIH2172",13.721
"NCIH2286",7.6312
"NCIH441",10.793
"NOMO1",3.5912
"OCIAML2",3.0869
"RAJI",5.9786
"REH",3.1674
"EFE184",12.739
"GAMG",6.0939
"HEC151",3.9015
"HSC4",8.985
"HUH6",14.999
"PATU8902",11.536
"SNU840",11.467
"SNUC5",6.5824
"SQ1",10.819
"SW1088",7.7951
"THP1",2.3202
"TYKNU",8.3583
"U937",0.1905
"UMUC3",7.3143
"LS123",9.0282
"NCIH524",7.2032
"SKMEL28",15.344
"SKMEL31",12.886
"SKMEL5",10.112
"SNU407",7.2205
"SNU61",6.1893
"CALU6",7.705
"CAOV3",6.557
"EBC1",7.028
"HEYA8",11.885
"HT1376",12.175
"HT55",10.04
"HUPT4",6.0828
"IPC298",12.229
"L33",3.378
"LOXIMVI",7.7616
"NCIH1755",10.053
"OVK18",5.1795
"SKLU1",13.727
"SKMEL30",12.594
"VMRCRCW",11.662
"HCC1143",8.2993
"L1236",13.978
"LOVO",7.0592
"MDAMB435S",6.2797
"MDST8",7.9802
"MM1S",4.7627
"NCIH1184",6.139
"PK59",10.752
"RMGI",12.304
"RT4",9.3376
"SKOV3",8.8161
"TE1",11.683
"WM1799",10.776
"WM793",10.325
"G361",8.5438
"HELA",5.5367
"HEPG2",11.458
"HPAC",10.848
"HS852T",8.429
"HS936T",10.997
"LXF289",14.998
"NCIH1435",13.531
"NCIH2023",10.26
"NCIH2126",7.9124
"NUGC3",6.9728
"PANC0504",11.227
"OAW28",9.0169
"TCCPAN2",9.6507
"YAPC",12.523
"ZR751",14.531
"C2BBE1",10.101
"CHAGOK1",6.8209
"COLO668",4.4144
"COV362",7.3347
"DV90",2.4339
"EFO27",10.229
"HDMYZ",6.4358
"NCIH2170",8.0728
"NCIH647",7.2937
"NCIH810",5.9722
"OCIAML3",0.2523
"PATU8988S",6.459
"PC3",9.8473
"TE5",4.4513
"UACC257",12.782
"UACC62",12.596
"BICR6",3.5698
"BT145",2.4169
"BT179",4.9397
"ECGI10",4.3934
"EFO21",10.155
"FTC133",7.068
"JHUEM3",4.87
"LK2",0.5247
"LNCAPCLONEFGC",3.9239
"LS1034",9.3734
"MKN7",10.453
"HCC1428",11.116
"NCIH2029",6.5513
"OE21",2.9613
"SH10TC",5.4081
"SNU449",10.908
"T3M10",8.5084
"BT112",6.6757
"BT164",4.1294
"CCFSTTG1",7.7285
"COLO800",8.7365
"DKMG",4.262
"GP2D",3.3363
"NCIH1869",9.4814
"IALM",14.975
"JHOM1",7.6411
"JHUEM7",4.9744
"JL1",12.502
"KYSE450",12.448
"LC1SQSF",9.8092
"RCM1",13.437
"SNU685",8.452
"VMRCLCD",6.1057
"BT224",8.7984
"BT549",5.3596
"HCC202",11.242
"HSTS",4.0856
"K029AX",9.4316
"KRIJ",3.6678
"KYSE520",10.864
"NCIH1623",6.5732
"NCIH716",11.412
"OE19",13.143
"OE33",11.58
"PK45H",10.013
"PSTS",9.6438
"RERFLCAD2",11.804
"697",0.3491
"BL41",12.037
"CA46",2.1933
"CORL279",3.7869
"CORL47",9.02
"CORL51",1.6448
"DU4475",2.7067
"EB1",2.7465
"EOL1",0.3422
"GA10",0.2881
"MOLT3",0.199
"NAMALWA",0.8381
"OPM2",0.918
"PFEIFFER",0.8136
"SCLC21H",4.2306
"SUPM2",0.7221
"TOLEDO",10.862
"COLO829",9.7935
"DANG",6.3925
"EJM",1.8372
"GI1",5.055
"GRANTA519",1.5843
"HCC1500",10.461
"IGR1",7.0404
"NCIH841",4.0203
"OCILY10",5.3267
"OCILY19",0.9315
"OCILY3",0.8521
"U118MG",7.4994
"CORL88",7.2672
"LU65",6.366
"NCIH2081",5.4674
"NCIH2141",3.3278
"A172",6.6445
"COV644",6.3662
"IM95",1.4108
"J82",9.4572
"NCIH23",1.8891
"RD",5.703
"SKUT1",8.0384
"T98G",11.497
"BECKER",2.6509
"HS578T",6.6052
"HS611T",3.2788
"JHH4",7.8082
"KARPAS422",4.3408
"KMRC1",10.023
"LP1",2.8104
"MDAMB468",4.0616
"SH4",11.577
"SKHEP1",11.091
"SUPHD1",3.7609
"AN3CA",6.6043
"ACHN",12.904
"EN",11.72
"KASUMI1",4.3965
"NCIH2342",13.017
"OV90",14.593
"RERFLCMS",5.1088
"RPMI6666",0.9477
"SKNMC",0.7509
"A253",9.7021
"BC3C",5.5856
"C32",9.1511
"CAL851",5.3352
"COLO684",6.6223
"HS746T",8.1379
"HSC2",9.5242
"HT144",10.294
"VMRCRCZ",11.797
"MESSA",8.044
"NCIH1105",5.8584
"NCIH322",5.6192
"OAW42",11.06
"PSN1",8.2617
"T24",6.7894
"TE441T",7.6284
"TT2609C02",9.8961
"CAKI1",13.514
"CORL105",10.774
"DMS273",4.3314
"ESS1",4.5537
"G402",5.106
"HOS",7.0123
"HS294T",7.9558
"JHH6",12.663
"MFE319",4.7936
"MOLP8",2.7448
"NCIH1339",3.925
"OV7",7.3968
"PANC0327",4.5015
"PLCPRF5",7.5383
"SCC9",7.9734
"SKLMS1",8.6425
"JHH2",6.7729
"A498",14.673
"HLF",6.1889
"JHH1",7.3192
"OV56",11.223
"PANC0203",9.2847
"SNU475",9.3883
"TOV21G",9.4423
"647V",4.1232
"8MGBA",8.901
"A101D",14.324
"A2058",4.033
"ASPC1",9.2908
"CAKI2",9.3201
"CAL27",1.7685
"COLO792",10.244
"FTC238",2.0588
"GMS10",10.202
"GOS3",9.0988
"HUH1",11.15
"IGR39",7.9646
"ISTMES1",11.509
"M059K",7.038
"SCABER",2.923
"SKNSH",8.3252
"TM31",11.101
"YH13",3.267
"A673",0.8224
"DU145",6.4491
"FADU",11.951
"HCC4006",7.0186
"HS683",2.3572
"HS729",6.6644
"HT1080",4.1803
"JHH5",6.8196
"JHUEM1",3.6682
"MEWO",7.4977
"MIAPACA2",6.7399
"NCCSTCK140",5.8087
"SKMES1",5.9773
"SKNDZ",3.5337
"SW579",4.1405
"WM115",8.6189
"WM2664",11.746
"BT20",6.0207
"CAL54",8.578
"CAPAN1",8.8429
"CHP212",2.451
"HS895T",11.769
"PANC1",5.6487
"KATOIII",11.191
"KMRC2",12.485
"KNS42",7.9199
"MPP89",7.9595
"NCIH1693",8.9027
"PANC0403",11.787
"PECAPJ49",2.0715
"SKMEL24",10.719
"SKNAS",6.4245
"TE617T",3.3563
"YKG1",8.1693
"BL70",0.4934
"CORL95",7.197
"D283MED",4.5664
"HL60",0.804
"HUPT3",10.044
"IMR32",0.9519
"KO52",2.2516
"MEC1",2.1869
"NCIH1092",9.4438
"NCIH2171",3.3688
"NCIH2196",8.7686
"NH6",4.0899
"OCIM1",6.5128
"SIGM5",0.6379
"TF1",6.1961
"786O",10.071
"A4FUK",1.4732
"HCT15",9.5075
"HEL9217",6.9596
"HUNS1",2.815
"JHOS2",9.5644
"K562",2.4951
"NCIH1341",2.1654
"NCIH1568",2.902
"NCIH1703",1.6888
"NCIH838",2.4777
"TE11",2.0873
"DAUDI",1.3235
"HT1197",14.266
"LUDLU1",5.0311
"NCIH1915",10.04
"NCIH1944",5.5958
"NCIH510",1.21
"NCIH522",2.6371
"PECAPJ41CLONED2",10.063
"PECAPJ15",3.9973
"RVH421",11.168
"SET2",5.4128
"SNU16",0.5074
"TOV112D",5.0782
"DB",1.7189
"HCC1419",10.813
"HCC56",9.1548
"HS839T",13.17
"NCIH2110",4.0885
"PECAPJ34CLONEC12",3.3267
"SNU387",8.6264
"SNU503",9.4782
"SNU869",8.0551
"SNUC1",7.4902
"SW1990",8.0516
"TE15",2.7258
"UMUC1",6.8146
"WM88",7.1555
"WM983B",6.4967
"ZR7530",11.601
"CI1",2.0733
"CJM",2.4275
"HUG1N",3.1515
"JEKO1",1.4442
"JM1",2.6121
"KP2",9.1557
"LMSU",10.392
"MG63",7.8275
"MINO",3.0261
"MJ",2.7939
"MOTN1",2.6008
"RL",3.1908
"SKMEL3",14.286
"SNU1",8.5802
"ST486",0.4078
"SUPB15",1.7874
"TC71",1.0224
"BICR18",7.8336
"BICR22",3.0343
"BICR31",8.0144
"COLO678",8.5303
"EFM192A",5.1557
"G401",3.4096
"HS888LU",8.5928
"KPNYN",14.467
"NCIH1395",8.833
"SNU423",5.0681
"SW1417",7.4699
"SW1783",10.321
"VCAP",6.9048
"DMS454",9.9284
"GCT",4.4619
"HCC2935",14.928
"HOP62",12.209
"NCIH747",8.6389
"OVCAR5",9.4714
"SF268",7.0619
"SF539",2.4896
"TUHR14TKB",15.738
"U251MG",10.369
"DMS53",9.1762
"HEC1A",7.8256
"IGR37",5.0819
"KNS62",10.603
"MDAMB157",5.7969
"NCIH1563",14.491
"OC314",2.1221
"UO31",10.65
"BICR56",5.5914
"CAL33",3.4528
"CALU1",11.614
"CAPAN2",11.198
"DMS114",4.3009
"EKVX",8.335
"HCC1438",2.9138
"HCT8",8.9388
"HOP92",10.958
"KYM1",4.6371
"KYSE30",8.1865
"KYSE510",4.7125
"L428",6.2649
"MDAMB361",11.365
"MFE296",4.9491
"NUDHL1",4.2793
"SNB75",8.0847
"SNU216",6.1304
"BICR16",7.9685
"F36P",3.1593
"JJN3",1.9762
"KASUMI2",1.5013
"KG1C",12.642
"KMS20",3.2935
"KYSE150",9.7176
"OCIAML5",1.9779
"PANC0813",6.8768
"SNU601",5.9749
"T47D",11.828
"T84",7.1084
"TE14",3.8412
"U266B1",2.108
"42MGBA",8.4573
"BT139",11.231
"BT159",8.1595
"BT187",10.797
"BT228",10.047
"BT231",4.2532
"BT239",10.353
"BT474",7.9037
"COV434",7.8044
"G292CLONEA141B1",6.8002
"M07E",4.2907
"NCIH1651",8.717
"A204",5.9491
"AML193",7.7156
"HGC27",6.0461
"HS578BST",12.465
"MALME3M",14.715
"HS688AT",14.077
"HUT78",3.9835
"NCIH1793",10.38
"SCC4",5.1759
"SKES1",1.9589
"HS888T",10.598
"MDAMB453",9.0187
"SAOS2",2.7833
"UBLC1",5.0144
"BT248",11.485
"NCIH1694",4.854
"SEM",1.0918
"HS822T",17.307
"HS940T",12.813
"KMBC2",8.2899
"RCC10RGB",13.776
"SKNBE2",7.1187
"AU565",5.9769
"COLO320",10.756
"PANC1005",7.4382
"BT131",6.6178
"BT147",9.0815
"BT172",7.9167
"BT216",10.137
"BT232",10.912
"BT245",7.4685
"BT271",7.9559
"BT286",6.7803
"BT320",14.337
"BT328",11.825
"BT330",8.7852
"BT333",10.033
"BT340",11.357
"BT359",7.2829
"BT416",2.6822
"BT422",9.6909
"BT428",6.6835
"BT440",10.001
"BT444",11.352
"BT482",11.311
"BT498",13.399
"BT504",4.4821
"2004",8.6898
"BT16",7.3858
"SW982",9.3258
"SYO1",7.3798
"TM87-16",10.704
"TTC709",7.1074
"YAMATO",15.217
